EURING Code,Current Name,Date Updated,Notes,Old name,Current IOC code
11223,Phoenicurus ochruros phoenicuroides ,15/11/2021,,,NA
11230,Phoenicurus hodgsoni,02/06/2008,,Phoenicurus hodgsoni,31409
11240,Phoenicurus frontalis,02/06/2008,,Phoenicurus frontalis,31384
11250,Phoenicurus schisticeps,02/06/2008,,Phoenicurus schisticeps,31386
11260,Phoenicurus auroreus,02/06/2008,,Phoenicurus auroreus,31406
11270,Phoenicurus moussieri,02/06/2008,,Phoenicurus moussieri,31405
11280,Phoenicurus erythrogastrus,02/06/2008,,Phoenicurus erythrogaster,31410
11289,Phoenicopteridae sp.,02/06/2008,,Phoenicurus sp.,NA
11290,Phoenicurus fuliginosus,02/06/2008,,Rhyacornis fuliginosus,31387
11300,Luscinia phaenicuroides,02/06/2008,,Hodgsonius phoenicuroides,31135
11310,Grandala coelicolor,02/06/2008,,Grandala coelicolor,29844
11320,Sialia currucoides,02/06/2008,,Sialia currucoides,29845
11330,Sialia mexicana,02/06/2008,,Sialia mexicana,29846
11340,Sialia sialis,02/06/2008,,Sialia sialis,29855
11350,Oenanthe melanura,02/06/2008,,Cercomela melanura,31613
11360,Saxicola macrorhynchus,02/06/2008,,Saxicola macrorhyncha,31456
11370,Saxicola rubetra,02/06/2008,,Saxicola rubetra,31455
11380,Saxicola dacotiae,02/06/2008,,Saxicola dacotiae,31512
11390,Saxicola rubicola,02/06/2008,,Saxicola torquata,31509
11391,Saxicola torquatus torquatus,02/06/2008,,Saxicola torquata torquata,31494
11392,Saxicola stejnegeri,07/06/2021,,Saxicola torquata stejnegeri,31479
11393,Saxicola torquatus rubicola,02/06/2008,,Saxicola torquata rubicola,NA
11394,Saxicola maurus,02/06/2008,,Saxicola torquata maura,31503
11395,Saxicola rubicola hibernans,02/06/2008,,Saxicola torquata hibernans,31510
11396,Saxicola torquatus variegatus,19/03/2012,Caspian Stonechat,Saxicola (torquata/maurus) variegatus,NA
11400,Saxicola insignis,02/06/2008,,Saxicola insignis,31477
11410,Saxicola caprata,02/06/2008,,Saxicola caprata,31460
11420,Saxicola ferreus,02/06/2008,,Saxicola ferrea,31452
11429,Saxicola sp.,02/06/2008,,Saxicola sp.,NA
11430,Myrmecocichla aethiops,02/06/2008,,Myrmecocichla aethiops,31549
11440,Oenanthe isabellina,02/06/2008,,Oenanthe isabellina,31585
